data,A845,A859,A860,A841,A844,A815,A880
2008-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-24,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2008-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2008-05-26,0.0,0.2,0.0,0.0,0.2,0.0,0.4
2008-05-27,0.0,2.8,0.0,0.0,0.0,0.0,0.0
2008-05-28,1.8,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-29,19.0,25.0,13.2,15.4,31.4,23.6,28.6
2008-05-30,2.6,0.8,0.4,1.2,1.6,1.2,2.0
2008-05-31,0.0,0.0,0.0,0.2,0.0,,0.0
2008-06-01,0.0,6.6,3.4,2.2,0.0,0.0,0.2
2008-06-02,2.0,0.0,0.0,0.2,0.0,0.0,0.2
2008-06-03,3.8,0.2,8.6,21.6,23.2,9.4,10.8
2008-06-04,24.4,46.4,40.4,38.4,12.0,15.8,6.2
2008-06-05,0.0,0.2,0.2,0.2,,0.2,0.0
2008-06-06,0.2,0.2,0.2,0.0,0.0,0.0,0.2
2008-06-07,3.2,0.2,4.2,10.2,,13.8,15.4
2008-06-08,1.2,0.2,0.2,0.0,0.0,0.8,0.8
2008-06-09,1.0,0.0,0.0,0.0,0.0,5.6,0.0
2008-06-10,5.8,13.0,10.4,16.0,,11.6,12.0
2008-06-11,0.0,0.0,0.0,0.2,0.0,0.0,0.2
2008-06-12,3.8,18.6,18.8,17.6,1.0,3.0,0.2
2008-06-13,0.0,0.0,0.0,0.2,0.0,1.2,0.0
2008-06-14,11.0,8.8,16.2,15.4,11.2,10.8,19.8
2008-06-15,0.2,5.2,0.0,0.0,0.0,0.0,0.2
2008-06-16,0.0,0.0,0.0,0.0,0.0,,0.0
2008-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-18,0.0,0.4,0.0,0.0,0.0,0.0,0.0
2008-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-20,0.4,0.0,0.0,0.0,6.6,0.0,6.6
2008-06-21,0.2,6.2,5.8,2.2,,6.8,11.6
2008-06-22,0.0,0.0,0.4,0.0,0.2,0.2,1.0
2008-06-23,0.0,0.2,0.0,0.2,0.2,0.0,0.0
2008-06-24,0.6,0.0,0.0,0.0,0.0,0.4,0.2
2008-06-25,13.2,0.0,0.0,0.0,0.0,0.0,0.2
2008-06-26,3.2,0.2,0.2,0.0,1.6,0.0,0.6
2008-06-27,35.2,16.8,,,,19.8,26.2
2008-06-28,22.2,5.2,7.6,31.0,,45.0,25.0
2008-06-29,14.8,19.2,15.8,4.8,,29.4,7.4
2008-06-30,0.4,0.2,0.0,0.2,,0.2,0.4
2008-07-01,0.4,0.2,0.2,0.2,0.2,0.4,0.2
2008-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-03,5.8,0.0,0.8,0.0,7.4,7.2,6.4
2008-07-04,0.8,6.4,10.6,9.2,10.0,4.8,11.8
2008-07-05,0.2,0.2,0.0,0.0,0.0,0.0,0.2
2008-07-06,0.0,0.2,0.2,0.0,0.0,0.0,0.2
2008-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-09,9.0,2.2,5.0,0.8,,8.0,2.8
2008-07-10,0.2,0.0,0.0,0.6,0.0,6.2,0.2
2008-07-11,0.0,0.0,0.0,0.2,0.0,0.0,0.2
2008-07-12,1.6,0.0,0.0,0.0,0.0,0.2,0.0
2008-07-13,1.2,0.0,0.0,0.0,0.0,0.0,0.2
2008-07-14,0.0,0.2,0.0,0.0,0.0,0.2,0.0
2008-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-16,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2008-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-21,0.0,0.0,0.0,0.0,0.4,0.0,1.8
2008-07-22,0.8,0.2,0.0,4.4,22.2,4.2,16.4
2008-07-23,9.2,3.4,5.2,7.0,2.4,7.8,2.6
2008-07-24,3.0,3.6,9.6,0.2,0.0,0.6,0.0
2008-07-25,0.2,6.0,0.0,0.2,0.0,0.0,0.0
2008-07-26,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2008-07-27,0.0,0.0,0.0,0.0,1.4,0.0,0.0
2008-07-28,0.0,0.0,0.0,0.0,0.8,0.8,7.4
2008-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2008-07-30,2.2,0.0,0.0,0.0,4.8,6.4,15.0
2008-07-31,4.8,13.6,8.6,3.2,1.6,1.6,2.6
2008-08-01,1.2,1.2,2.0,1.0,,1.2,2.2
2008-08-02,44.8,13.0,24.0,23.2,26.6,33.0,28.2
2008-08-03,0.6,1.4,0.2,1.6,0.0,0.0,0.0
2008-08-04,0.0,0.2,0.2,0.2,0.2,0.0,0.4
2008-08-05,1.4,1.2,0.2,0.2,0.0,0.0,0.2
2008-08-06,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2008-08-07,19.6,3.4,14.0,6.4,24.6,38.8,10.2
2008-08-08,1.0,2.2,1.8,0.8,0.0,5.4,0.4
2008-08-09,2.0,6.4,5.2,1.8,0.0,0.2,0.0
2008-08-10,9.2,0.8,0.6,0.2,0.0,10.4,0.0
2008-08-11,6.0,0.0,0.0,0.0,0.0,0.4,0.0
2008-08-12,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-13,8.0,20.0,9.6,23.8,,6.4,8.2
2008-08-14,2.6,0.4,0.0,0.0,0.0,0.0,0.0
2008-08-15,1.4,22.4,11.2,45.0,0.0,0.0,0.0
2008-08-16,0.8,0.0,0.0,0.0,0.0,0.0,0.2
2008-08-17,4.6,1.2,5.8,0.4,0.0,4.8,1.0
2008-08-18,0.0,0.2,0.0,0.0,11.4,0.2,17.6
2008-08-19,1.6,0.0,0.0,0.0,,1.6,14.4
2008-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-21,0.0,0.0,0.0,0.0,1.4,0.0,1.0
2008-08-22,8.8,2.0,11.2,5.0,16.8,8.4,11.6
2008-08-23,1.8,5.4,0.0,0.2,0.0,0.0,0.0
2008-08-24,5.4,0.0,0.0,0.0,0.6,0.4,0.0
2008-08-25,1.6,0.0,0.0,0.0,0.0,0.0,0.4
2008-08-26,0.2,0.2,0.0,0.0,0.0,0.0,0.2
2008-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2008-08-29,2.0,6.4,2.6,8.0,6.2,5.2,4.0
2008-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,1.2,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2008-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-05,9.6,0.0,0.2,3.4,16.6,23.6,17.2
2008-09-06,51.6,,,38.2,45.2,48.8,38.0
2008-09-07,6.4,0.2,0.8,0.2,,5.8,2.2
2008-09-08,0.0,0.2,0.0,0.2,0.0,0.0,0.0
2008-09-09,19.4,14.0,14.8,3.4,3.8,17.2,8.4
2008-09-10,5.4,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-11,26.0,0.2,8.8,4.4,3.4,5.6,0.6
2008-09-12,43.0,40.8,35.6,46.8,10.0,46.8,14.6
2008-09-13,16.2,43.8,30.2,23.8,,14.0,3.2
2008-09-14,0.0,0.4,0.2,0.4,0.0,0.0,0.0
2008-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2008-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-17,6.6,0.0,0.0,0.0,0.0,0.2,0.0
2008-09-18,1.6,0.0,0.0,0.0,0.0,0.2,0.0
2008-09-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-20,1.6,0.4,0.0,0.2,0.0,0.0,0.0
2008-09-21,18.6,14.4,14.2,21.8,17.4,16.8,12.4
2008-09-22,0.4,0.0,1.8,0.0,2.2,5.4,3.2
2008-09-23,12.6,0.4,1.0,1.6,0.2,6.2,3.4
2008-09-24,9.6,0.0,0.0,0.0,0.0,0.2,0.2
2008-09-25,0.4,0.0,0.0,0.0,0.0,0.2,0.0
